"jobTitle","company","location","link","jobDescription"
"Data Scientist - Bangalore/ Hyderabad (2-5 Years Of Experience)","Analytics Vidhya "," Bengaluru, Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-hyderabad-2-5-years-of-experience/","clustering, data mining, linear regression, logistic regression, python, r, random forest, sql, statistical modeling"
"Data Scientist (Machine Learning) – Gurgaon (2-4 years of experience)","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-machine-learning-gurgaon-2-4-years-of-experience/","excel, machine learning, predictive modeling, python, r"
"Lead Data Scientist- Bangalore (7-10 Years of Experience )","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/lead-data-scientist-bangalore-7-10-years-of-experience/","bigdata, K-NN, machine learning, naive bayes, python, r, sas, svm, tableau"
"Data Scientist- Noida (1-5 Years of Experience )","Analytics Vidhya "," Noida ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-noida-1-5-years-of-experience/","analytics, python, r"
"Data Scientist- Chennai (10+ Years Of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-chennai-10-years-of-experience/","Bachelors/ Masters/ PhD degree in Math, Computer Science, Information Systems, Machine Learning,Statistics, Econometrics, Applied Mathematics, Operations Research or related technical degree"
"Data Scientist- (Machine Learning)- Delhi/NCR (4-8 Years of Experience)","Analytics Vidhya "," Delhi, Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-machine-learning-delhincr-4-8-years-of-experience/","hadoop, K-NN, logistic, machine learning, neural network, python, r, random forest, sas, statistical modeling"
"Data Scientist- Bangalore (3-8 Years Of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-3-8-years-of-experience/","data mining, python, r, sql, statistical modeling"
"Data Scientist/Analyst- Chennai (2-5 Years Of Experience)","Analytics Vidhya "," Chennai, Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientistanalyst-chennai-2-5-years-of-experience/","modeling, python, r, sas"
"Data Scientist- Bangalore (2+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-years-of-experience-3/","data mining, hadoop, hbase, machine learning, predictive modeling, python, r, spark, statistical modeling, text mining"
"Data Scientist","Dollarbird Information Services Pvt, Ltd. "," Mysuru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-3/","aws, Data analytics, data visualization, etl, google analytics, hadoop, machine learning, predictive modeling, python, spark, sql, tableau"
"Principal Data Scientist- Bangalore (10- 20 years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/principal-data-scientist-bangalore-10-20-years-of-experience/","apache spark, aws, bigdata, data science, etl, hadoop, java, machine learning, nlp, python, Scala"
